time,open,high,low,close
1740856920,-1.0368819707673775,-1.056595785513255,-1.0209378818438806,-1.0383622853230985
1740856980,-1.0382796881298144,-1.0480986799847805,-1.0138319593317693,-1.0344084575040633
1740857040,-1.034554788962414,-1.0475359577643497,-1.0111417091834767,-1.030472233548877
1740857100,-1.0290836232666276,-1.0516051428208273,-1.0304206614896323,-1.0364927549830178
1740857160,-1.0371812301522791,-1.0521502799718685,-1.0226844316783765,-1.0337148652686674
1740857220,-1.0337379868765546,-1.0316918102454082,-1.0092296596670827,-1.0117346808748915
1740857280,-1.0116843305584153,-1.0241970536720693,-0.9917712038618001,-1.0031369537742023
1740857340,-1.0032452159041076,-1.0265499359562376,-0.9914472470376607,-1.0142203464494555
1740857400,-1.0142086714875502,-0.9896845964904052,-0.9998208266877129,-0.9763262691420316
1740857460,-0.9762837056735334,-0.9996166436809684,-0.9783129105806806,-0.989078508109558
1740857520,-0.9889476587029635,-0.9407242462992286,-0.9688794287125201,-0.9535081408293498
1740857580,-0.9535470338180868,-0.9696094812766107,-0.9655060522176707,-0.988529267557672
1740857640,-0.988827954949003,-0.9933141548121676,-0.9829997207212315,-0.989043300381876
1740857700,-0.9893454976499559,-1.0054724717873076,-0.9782460064539603,-0.9975600497088911
1740857760,-0.9987668872264773,-1.016132540850553,-0.9959685574963085,-1.0074534211883879
1740857820,-1.007674254800695,-1.0256214442925304,-1.012972769493832,-1.0285428500717375
1740857880,-1.026365643911965,-1.0455558789512198,-1.0166771453524774,-1.0399994446604512
1740857940,-1.0399097716028791,-1.0624656816751028,-1.0382801357448515,-1.0400452147064436
1740858000,-1.0398147127394424,-1.061931095565694,-1.025483841191324,-1.0389713790120485
1740858060,-1.0389380587766026,-1.0523999879571808,-1.0263148608706398,-1.0339894855446103
1740858120,-1.0335021000672775,-1.0346003807222455,-1.013839001871421,-1.013998537765038
1740858180,-1.0138777258148315,-1.023215806800199,-0.9898028140281682,-0.9999541751914706
1740858240,-0.9999075935877623,-1.0173177745273292,-0.9839856762729579,-1.007833664647387
1740858300,-1.0077869171573675,-1.0136389780112796,-0.9833095924660576,-0.9935076402523383
